,region,population,code2
209,Polynesia,2000,TK
210,Southern and Central Asia,4459000,TM
211,Southeast Asia,885000,TP
212,Polynesia,99000,TO
213,Caribbean,1295000,TT
214,Northern Africa,9586000,TN
215,Middle East,66591000,TR
216,Polynesia,12000,TV
217,Eastern Asia,22256000,TW
218,Eastern Africa,33517000,TZ
219,Eastern Africa,21778000,uG
220,Eastern Europe,50456000,uA
221,Micronesia/Caribbean,0,uM
222,South America,3337000,uY
223,North America,278357000,uS
224,Southern and Central Asia,24318000,uZ
225,Southern Europe,1000,VA
226,Caribbean,114000,VC
227,South America,24170000,VE
228,Caribbean,21000,VG
229,Caribbean,93000,VI
230,Southeast Asia,79832000,VN
231,Melanesia,190000,Vu
232,Polynesia,15000,WF
233,Polynesia,180000,WS
234,Middle East,18112000,YE
235,Southern Europe,10640000,Yu
236,Southern Africa,40377000,ZA
237,Eastern Africa,9169000,ZM
238,Eastern Africa,11669000,ZW
